ICD-10 (1-3-digit codes) main diagnosis,Diagnosis of hospital in-patients (main diagnosis),Year,Patient's place of residence,Gender,under 1 year,1 to under 5 years,5 to under 10 years,10 to under 15 years,15 to under 18 years,18 to under 20 years,20 to under 25 years,25 to under 30 years,30 to under 35 years,35 to under 40 years, 40 to under 45 years,45 to under 50 years,50 to under 55 years,55 to under 60 years,60 to under 65 years,65 to under 70 years,70 to under 75 years,75 to under 80 years,80 to under 85 years,85 to under 90 years
ICD10-D50-D90,Diseases of the blood and blood-forming organs etc,2021,Brandenburg,Female,2.4,2.5,26.1,12.1,4.9,6.2,8.2,7.5,5.8,3.8,4.3,4,4.2,5.7,5.7,5.5,5,6,6.1,6.3
ICD10-E00-E90,"Endocrine, nutritional and metabolic diseases",2021,Brandenburg,Female,4.3,5.7,6.4,5.4,4.6,5.7,5.4,4.2,3.5,3.9,3.6,4.1,4.3,5,5.2,6.4,7.5,7.9,8.4,9
ICD10-G00-G99,Diseases of the nervous system,2021,Brandenburg,Female,6.4,9.9,7.7,5.5,10.2,9.6,6.9,11.9,8.5,7.8,7,8.9,7.1,7.6,8.3,10.7,10.1,10.3,9.8,9.1
ICD10-I00-I99,Diseases of the circulatory system,2021,Brandenburg,Female,22,2.9,4.5,3.6,2.8,6.7,7.5,3.3,4.6,5.3,5.2,5.8,5.7,5.9,6.4,6.5,7.1,7.9,9.1,9.9
ICD10-J00-J99,Diseases of the respiratory system,2021,Brandenburg,Female,4.4,3.3,3.2,4.1,4.1,4,3.7,4.1,4.3,4.8,5.4,5.5,7.4,7.9,8,8.7,9.4,10.1,10.5,10.2
ICD10-K00-K93,Diseases of the digestive system,2021,Brandenburg,Female,6.7,2.7,3.5,3.3,3.2,3.6,3.6,3.4,3.7,4.1,4.1,4.4,4.8,5,5.9,6,6,6.6,7.2,7.4
ICD10-M00-M99,Diseases of the musculoskeletal sys.a.conn.tissue,2021,Brandenburg,Female,4.5,4.1,4.1,3.7,3.7,3.5,4.3,3.9,4.5,5.3,5.3,5.1,5.7,6.2,6.8,7.5,8.2,9.4,10.9,12.1
ICD10-A00-B99,Certain infectious and parasitic diseases,2021,Brandenburg,Both,3.1,2.8,3.2,3.2,3.3,4,4.2,5.2,6.4,6.6,6.5,7.4,7.9,8,8.9,9.3,10.2,10,9.9,10.1
ICD10-C00-C97,Malignant neoplasms,2021,Brandenburg,Both,6.8,6.5,4.8,5.5,5.7,8.5,8,8.2,6.4,7.1,6,6.4,6.6,7,7.3,7.4,7.6,7.6,7.9,7.9
ICD10-D50-D90,Diseases of the blood and blood-forming organs etc,2021,Brandenburg,Both,3.2,2.6,13.6,9.1,6.2,6.6,6.8,6.7,5.8,5,5.1,5,4.9,5.4,6,6.1,5.9,6.3,6,6.2
ICD10-E00-E90,"Endocrine, nutritional and metabolic diseases",2021,Brandenburg,Both,6.7,5.4,5.8,6,4.9,5.9,5.4,4.8,4.3,4.5,5,5.1,5.9,6.7,7.7,8.9,8.7,8.6,8.7,9.1
ICD10-G00-G99,Diseases of the nervous system,2021,Brandenburg,Both,6.8,10.9,10.7,7,11.2,9.3,8.4,11.1,8.2,9.3,6.9,8,8.5,7.6,9.3,11.2,10.3,10.9,10.1,9.2
ICD10-I00-I99,Diseases of the circulatory system,2021,Brandenburg,Both,17.6,3.4,4.1,3.2,3.4,5.9,5.9,4.1,4.6,5.8,5.4,5.7,6.1,6.3,6.6,7.3,7.5,8,9,9.8
ICD10-J00-J99,Diseases of the respiratory system,2021,Brandenburg,Both,4.3,3,3,3.7,4.3,3.7,3.9,4.8,4.6,5.3,5.8,6.4,7.8,8.3,9,9.7,9.8,10.6,10.2,10.2
