ICD-10 (1-3-digit codes) main diagnosis,Diagnosis of hospital in-patients (main diagnosis),Year,Patient's place of residence,Gender,under 1 year,1 to under 5 years,5 to under 10 years,10 to under 15 years,15 to under 18 years,18 to under 20 years,20 to under 25 years,25 to under 30 years,30 to under 35 years,35 to under 40 years, 40 to under 45 years,45 to under 50 years,50 to under 55 years,55 to under 60 years,60 to under 65 years,65 to under 70 years,70 to under 75 years,75 to under 80 years,80 to under 85 years,85 to under 90 years
ICD10-M00-M99,Diseases of the musculoskeletal sys.a.conn.tissue,2019,Bayern,Both,5.4,4.8,5,4.4,3.9,3.9,3.6,3.9,4.2,4.4,4.7,5,5.4,5.9,6.3,7.2,7.7,8.4,9.2,9.8
ICD10-A00-B99,Certain infectious and parasitic diseases,2019,Berlin,Male,3.9,3.2,3.5,4.1,4.4,6.6,8.8,6.1,8.9,7.4,9.5,9,9.8,10.3,10.8,10.6,12.2,11.3,11.4,10.6
ICD10-C00-C97,Malignant neoplasms,2019,Berlin,Male,12,7.9,7.6,11.2,13.7,5.7,7,8.8,6.7,7.7,7.6,8.5,7.8,7.8,7.6,7.8,7.9,8.3,8.6,8.6
ICD10-D50-D90,Diseases of the blood and blood-forming organs etc,2019,Berlin,Male,4,7.2,7.3,10.8,4.6,8.7,4.8,5.2,8.6,5.2,4.3,5.3,5.5,6.2,6.1,5.6,6.1,6.3,6.6,7
ICD10-E00-E90,"Endocrine, nutritional and metabolic diseases",2019,Berlin,Male,5.7,7.4,6.6,6.4,6.9,6,6.1,6.2,5.1,5.5,7.1,6.9,7.8,8.7,10.4,10.7,10.8,10.1,10.9,9.8
ICD10-G00-G99,Diseases of the nervous system,2019,Berlin,Male,5.1,4.9,3.8,4.2,4.2,4.5,4.8,6.1,5.7,5.6,5,5.8,6.6,7.5,7.6,9.2,10.9,10.5,11.4,10.8
ICD10-I00-I99,Diseases of the circulatory system,2019,Berlin,Male,7,3.9,3.2,3,6.9,4.2,4.5,5.6,5.3,5.6,5.8,6,5.9,6,6.7,7.2,7.2,7.8,8.6,9.2
ICD10-J00-J99,Diseases of the respiratory system,2019,Berlin,Male,3.9,3,3.2,3.5,3.7,3.8,4.1,3.8,4,4.6,4.6,5.6,6.6,7.8,8.6,9,9.8,10,10.2,10
ICD10-K00-K93,Diseases of the digestive system,2019,Berlin,Male,4.4,2.4,2.6,3.2,2.7,3.4,3.2,3.2,3.8,4,4.5,4.6,4.7,5,5.3,5.7,5.6,6.2,6.7,7.3
ICD10-M00-M99,Diseases of the musculoskeletal sys.a.conn.tissue,2019,Berlin,Male,7.2,5.5,4.1,4,3.9,4.1,3.5,4,4.4,4.2,5.1,5,5.4,5.8,6.8,7.7,8.3,9,10.7,12
ICD10-A00-B99,Certain infectious and parasitic diseases,2019,Berlin,Female,3.9,3.7,3.6,4.3,4.2,4.4,5.4,5.1,5.4,6.6,9.3,7.3,8.4,9,9,10,10.9,10.6,10,10.1
ICD10-C00-C97,Malignant neoplasms,2019,Berlin,Female,10.8,7.9,7.5,6.7,6,4.9,6.8,6.7,7,6.7,6.3,7,7.2,7.4,7.6,7.7,8.6,8.9,9.9,10.2
ICD10-D50-D90,Diseases of the blood and blood-forming organs etc,2019,Berlin,Female,13.4,4,3.7,4.4,7.3,4.6,5.1,4.1,4,4.4,4.5,4.6,4.3,5.9,4.9,6.3,6.6,6.6,6.6,6.6
ICD10-E00-E90,"Endocrine, nutritional and metabolic diseases",2019,Berlin,Female,8.1,6.7,4.4,6,6.2,4.6,4.7,3.9,3.7,3.9,4.4,5.3,4.8,5.5,5.8,7.1,8.1,9.1,9.7,9.8
ICD10-G00-G99,Diseases of the nervous system,2019,Berlin,Female,8.5,4.5,3.7,4.1,5.4,3.8,5.7,4.8,4.6,5,5.1,6.6,5.7,6.9,7.6,9.7,11.1,10.1,10.4,9.4
ICD10-I00-I99,Diseases of the circulatory system,2019,Berlin,Female,11,4.9,3,4.8,3.5,3.7,3.8,4.4,6.8,4.9,5.6,6.6,5.8,6,6.2,6.8,7.3,8,8.9,9.9
ICD10-J00-J99,Diseases of the respiratory system,2019,Berlin,Female,4.6,3.3,3,3.6,3.8,3.3,3.5,3.2,4,3.9,4.3,5.3,6.1,7,8.4,8.9,9.6,9.7,10.2,10.4
ICD10-K00-K93,Diseases of the digestive system,2019,Berlin,Female,3.3,2.6,2.2,3.2,3,3.3,3.5,3.5,3.7,3.9,4.4,4.5,4.8,5.1,5.8,6.1,6.4,7.2,7.6,8.4
ICD10-M00-M99,Diseases of the musculoskeletal sys.a.conn.tissue,2019,Berlin,Female,14.8,5.5,4.7,4.1,3.7,3.9,3.8,3.9,4.5,4.2,5,5.1,5.6,6,6.4,7.3,8.3,9.7,11.3,13.2
ICD10-A00-B99,Certain infectious and parasitic diseases,2019,Berlin,Both,3.9,3.5,3.5,4.2,4.3,5.3,6.8,5.6,7.1,7.1,9.4,8.3,9.2,9.7,10.1,10.3,11.6,11,10.6,10.3
ICD10-C00-C97,Malignant neoplasms,2019,Berlin,Both,11.6,7.9,7.5,9,9.3,5.5,6.9,7.7,6.8,7.1,6.9,7.6,7.5,7.6,7.6,7.8,8.2,8.6,9.2,9.4
ICD10-D50-D90,Diseases of the blood and blood-forming organs etc,2019,Berlin,Both,8.1,6,5.5,7.7,6.1,6.8,5,4.6,5.8,4.7,4.4,4.8,4.8,6,5.5,5.9,6.3,6.5,6.6,6.7
ICD10-E00-E90,"Endocrine, nutritional and metabolic diseases",2019,Berlin,Both,6.6,7.1,5.3,6.2,6.5,5.2,5.3,4.8,4.2,4.5,5.5,6,6.2,7.2,8.3,9.1,9.5,9.6,10.2,9.8
ICD10-G00-G99,Diseases of the nervous system,2019,Berlin,Both,6.6,4.8,3.7,4.2,4.9,4.2,5.3,5.3,5.1,5.3,5,6.2,6.2,7.2,7.6,9.4,11,10.3,10.8,10
ICD10-I00-I99,Diseases of the circulatory system,2019,Berlin,Both,9.2,4.4,3.1,3.8,5.5,4,4.2,5.1,5.9,5.4,5.7,6.2,5.9,6,6.6,7.1,7.2,7.9,8.7,9.6
ICD10-J00-J99,Diseases of the respiratory system,2019,Berlin,Both,4.2,3.1,3.1,3.5,3.7,3.6,3.8,3.6,4,4.3,4.5,5.4,6.4,7.4,8.5,9,9.7,9.9,10.2,10.2
ICD10-K00-K93,Diseases of the digestive system,2019,Berlin,Both,4.1,2.5,2.4,3.2,2.9,3.3,3.4,3.4,3.7,4,4.5,4.5,4.7,5,5.5,5.9,6,6.7,7.2,7.9
ICD10-M00-M99,Diseases of the musculoskeletal sys.a.conn.tissue,2019,Berlin,Both,11.1,5.5,4.4,4.1,3.8,4,3.7,3.9,4.4,4.2,5,5,5.5,5.9,6.6,7.4,8.3,9.4,11.1,12.8
ICD10-A00-B99,Certain infectious and parasitic diseases,2019,Brandenburg,Male,3.3,3,3,3.1,3.4,5.2,6.1,4.6,6.6,7.3,7.3,7,8.8,9.5,9.8,9.9,9.5,10.3,10.4,10.4
ICD10-C00-C97,Malignant neoplasms,2019,Brandenburg,Male,6.7,9.4,7.1,10.2,2.7,6.7,7.1,7.3,6.6,7.8,7,7.2,7.6,7.1,7.7,7.5,7.4,7.6,8.1,8.1
ICD10-D50-D90,Diseases of the blood and blood-forming organs etc,2019,Brandenburg,Male,22.6,4.5,4.3,4,14.9,8.6,4.6,5,4.8,6.5,4.1,5,5,6.2,6.3,6,6.2,5.9,5.8,5.6
ICD10-E00-E90,"Endocrine, nutritional and metabolic diseases",2019,Brandenburg,Male,11.6,5.2,5.2,5.5,5.2,4.3,5.3,5.8,6,5.9,6.4,7.4,6.8,8.4,10.6,10.1,10.1,9.5,9.6,9.2
ICD10-G00-G99,Diseases of the nervous system,2019,Brandenburg,Male,3.6,5.1,4,4.1,5,4.2,5.4,5.3,6.3,6,6.8,6.7,6.3,7.1,8.1,10.4,9.7,10.8,10.8,9.9
ICD10-I00-I99,Diseases of the circulatory system,2019,Brandenburg,Male,9.2,3,2.9,3.1,3,3.3,5.2,4.8,5.6,5.4,5.9,5.8,6.2,6.2,7,7.6,7.9,8.5,9,10.2
ICD10-J00-J99,Diseases of the respiratory system,2019,Brandenburg,Male,4.2,3,2.9,3.5,4.1,4,4,3.8,4.1,4.3,4.7,5.7,6.3,6.9,8.1,8.4,9.1,9.2,9.7,10
ICD10-K00-K93,Diseases of the digestive system,2019,Brandenburg,Male,3.2,2.7,2.6,3.1,4.1,3.3,3.4,3.6,3.8,4.4,4.3,4.9,4.8,5.1,5.7,5.9,5.9,6.1,6.8,7.2
ICD10-M00-M99,Diseases of the musculoskeletal sys.a.conn.tissue,2019,Brandenburg,Male,7.3,4.3,4.4,4.2,4.3,3.8,4.2,4.3,4.5,4.8,5.2,5.2,5.7,6.4,6.8,7.9,8.3,9.3,10.8,11.7
ICD10-A00-B99,Certain infectious and parasitic diseases,2019,Brandenburg,Female,3.2,3.4,2.9,2.9,3.3,3.5,4.9,3.3,5.1,5.1,5.4,7.7,7.4,7.5,8.3,8.9,9.3,9.9,10.1,9.6
ICD10-C00-C97,Malignant neoplasms,2019,Brandenburg,Female,16.5,7.5,5.3,5.2,4.1,5.4,6.6,7.7,5.3,5.8,6.2,5.9,6.2,7,7.5,7.8,8.2,8.5,8.7,8.8
ICD10-D50-D90,Diseases of the blood and blood-forming organs etc,2019,Brandenburg,Female,3.5,3.6,2.7,4,3.4,4.9,6.2,3.9,4.1,3.8,4.3,4.4,4.4,5,6.6,6,5.6,6.4,6.9,6.3
ICD10-E00-E90,"Endocrine, nutritional and metabolic diseases",2019,Brandenburg,Female,8.1,4.8,4.9,5.4,4.7,3.9,6.2,4.7,5.5,3.7,3.8,4.4,5,5,5.8,7,8,8.9,9,9.5
ICD10-G00-G99,Diseases of the nervous system,2019,Brandenburg,Female,6.2,3.8,6.1,3.7,4.2,4.1,4.9,4.8,5.8,4.7,6.6,5.3,6.3,7,8.1,9.3,9.8,10.2,10.2,9.5
ICD10-I00-I99,Diseases of the circulatory system,2019,Brandenburg,Female,10.5,3.8,2.8,2.9,3.5,2.9,5.1,7.5,5.3,5.3,4.5,5.5,5.3,5.8,6.1,6.8,7.4,8,9.3,10.4
ICD10-J00-J99,Diseases of the respiratory system,2019,Brandenburg,Female,4.6,3.2,3.1,3.4,3.7,3.7,3.4,3.5,3.7,4.2,4.5,5.1,5.2,5.7,6.7,7.9,8.4,9.2,9.8,10
ICD10-K00-K93,Diseases of the digestive system,2019,Brandenburg,Female,3.5,2.7,2.8,3,3.2,3.3,3.4,4,4,4.2,4.2,4.7,4.8,5.3,5.5,6,6.5,6.7,7.6,7.8
ICD10-M00-M99,Diseases of the musculoskeletal sys.a.conn.tissue,2019,Brandenburg,Female,8.2,4.7,5.7,4.1,3.9,3.4,4.1,4.6,5.1,5.2,5.2,5.7,6.1,6.4,7,7.7,8.4,9.5,11.3,12.2
ICD10-A00-B99,Certain infectious and parasitic diseases,2019,Brandenburg,Both,3.2,3.2,3,3,3.4,4.2,5.4,4,5.9,6.2,6.4,7.3,8.1,8.7,9.1,9.5,9.4,10.1,10.2,9.9
ICD10-C00-C97,Malignant neoplasms,2019,Brandenburg,Both,13.2,8.3,6.2,7.8,3.6,6.3,7,7.5,5.9,6.5,6.5,6.5,6.9,7.1,7.6,7.6,7.7,7.9,8.4,8.5
ICD10-D50-D90,Diseases of the blood and blood-forming organs etc,2019,Brandenburg,Both,17.6,4,3.3,4,6,6.7,5.4,4.4,4.4,5.2,4.2,4.7,4.7,5.6,6.4,6,6,6.1,6.4,6
ICD10-E00-E90,"Endocrine, nutritional and metabolic diseases",2019,Brandenburg,Both,9.9,5,5,5.5,4.9,4.1,5.8,5.2,5.7,4.6,4.8,5.5,5.8,6.8,8.6,8.7,9.1,9.1,9.2,9.4
ICD10-G00-G99,Diseases of the nervous system,2019,Brandenburg,Both,4.5,4.6,4.9,3.9,4.6,4.1,5.1,5.1,6,5.3,6.7,6,6.3,7.1,8.1,9.9,9.8,10.5,10.5,9.7
ICD10-I00-I99,Diseases of the circulatory system,2019,Brandenburg,Both,9.7,3.4,2.9,3,3.3,3.1,5.2,5.9,5.5,5.4,5.4,5.7,5.9,6.1,6.7,7.3,7.7,8.2,9.1,10.3
ICD10-J00-J99,Diseases of the respiratory system,2019,Brandenburg,Both,4.3,3.1,3,3.4,3.8,3.8,3.7,3.6,3.9,4.3,4.6,5.4,5.8,6.4,7.6,8.2,8.9,9.2,9.7,10
ICD10-K00-K93,Diseases of the digestive system,2019,Brandenburg,Both,3.2,2.7,2.7,3,3.6,3.3,3.4,3.8,3.9,4.3,4.2,4.8,4.8,5.2,5.6,6,6.2,6.4,7.2,7.5
ICD10-M00-M99,Diseases of the musculoskeletal sys.a.conn.tissue,2019,Brandenburg,Both,7.7,4.6,5,4.1,4.1,3.6,4.1,4.5,4.8,5,5.2,5.5,5.9,6.4,6.9,7.8,8.4,9.4,11.1,12
ICD10-A00-B99,Certain infectious and parasitic diseases,2019,Bremen,Male,3.5,3,3.4,3.5,4.6,6.3,8.6,5.3,8.2,5.5,6.6,9.8,6.9,9.3,8.4,9.8,9.3,10.7,10.6,10.1
ICD10-C00-C97,Malignant neoplasms,2019,Bremen,Male,3.5,7.7,12.4,5,10.5,5.5,2.6,6.9,6.5,8.8,7.4,7.1,7.5,8.4,8.3,8,7.7,7.9,7.9,8.7
ICD10-D50-D90,Diseases of the blood and blood-forming organs etc,2019,Bremen,Male,3.5,6.2,5.3,5,3,3.3,5.9,11.2,4.7,5.4,2.4,7.4,6.5,4.5,6.4,5.6,5,6.3,7.2,4.7
ICD10-E00-E90,"Endocrine, nutritional and metabolic diseases",2019,Bremen,Male,13.2,9.2,3.9,2.8,4.8,4.7,6,4.8,5.3,6.1,6.9,9.7,9,8.7,11,10.8,9.3,9.5,8.5,8.1
ICD10-G00-G99,Diseases of the nervous system,2019,Bremen,Male,10.9,5.5,3.6,3.8,4.9,3.7,5.5,3.9,4.7,7.3,4,12.9,6,6.9,8.5,10.7,8.9,10.7,9.2,9.3
ICD10-I00-I99,Diseases of the circulatory system,2019,Bremen,Male,7,3.6,1.8,2.1,3.3,2.5,3.4,4.2,5,7.4,6.4,6,7.8,7.4,7.6,7.9,7.9,9.4,9.6,9.2
ICD10-J00-J99,Diseases of the respiratory system,2019,Bremen,Male,3.8,3.1,3,4.5,4.3,4,5.2,4,4.5,5,5.7,6.7,6,7.1,7.2,7,8.2,8.5,8.6,8.5
ICD10-K00-K93,Diseases of the digestive system,2019,Bremen,Male,5.5,2.7,2.9,4.1,3.3,3,3.6,3.9,4,4.4,4.4,6,5.7,5.1,6.3,6.1,6.5,6.9,6.9,7
ICD10-M00-M99,Diseases of the musculoskeletal sys.a.conn.tissue,2019,Bremen,Male,3,5,3,3,4.1,3.3,4.6,4.3,4.6,6,6.5,6.2,5.2,6.7,6.8,7.6,8.2,8.9,10.2,10.9
ICD10-A00-B99,Certain infectious and parasitic diseases,2019,Bremen,Female,3,2.6,2.7,4,3.5,4,4.7,4.8,4.4,8.8,7.6,7.4,7.7,9,6,8.5,10.2,10.2,9.3,9.2
ICD10-C00-C97,Malignant neoplasms,2019,Bremen,Female,6.3,6.1,10.3,3,2.4,5.6,7.6,9.9,6.4,9.7,7.7,6.6,7.6,8.7,9.1,9.3,8.9,9.5,10.3,9.1
ICD10-D50-D90,Diseases of the blood and blood-forming organs etc,2019,Bremen,Female,2,3.2,3,3.6,3.7,4.3,6.7,7.2,4.1,4.8,3.7,3.9,5,5.5,6.4,5.9,6.5,7,7.2,6.6
ICD10-E00-E90,"Endocrine, nutritional and metabolic diseases",2019,Bremen,Female,9.6,10.9,3.4,5.9,8.1,3.5,6.3,4.3,4.8,4.2,4.7,4.8,5.5,5.8,6.4,7.3,6.4,7.9,9.8,8.2
ICD10-G00-G99,Diseases of the nervous system,2019,Bremen,Female,14.1,4.1,2.6,4.5,4,2.8,4.8,4.3,6.3,6.5,8.2,6.7,5.9,6.8,7.1,10.4,8.2,8,7.8,7.8
ICD10-I00-I99,Diseases of the circulatory system,2019,Bremen,Female,1.8,7.2,2.3,2.5,2.6,3.2,6.5,7.1,4.7,5.5,6.4,6,6.5,7,8,8.7,8.2,8.4,9.2,9.2
ICD10-J00-J99,Diseases of the respiratory system,2019,Bremen,Female,4.3,3.4,3.1,3.6,4,3.9,4,4.6,4.1,3.8,4.3,4.9,5.2,6.1,6.3,7.6,8.2,8.4,8.5,8.3
ICD10-K00-K93,Diseases of the digestive system,2019,Bremen,Female,3.6,5.1,2.4,4.1,3.4,3.7,3.8,4,4,4.6,4.5,4,5.1,5.6,5.8,5.8,7,7,7.3,6.7
ICD10-M00-M99,Diseases of the musculoskeletal sys.a.conn.tissue,2019,Bremen,Female,1,4.5,3.6,4.1,4.9,3.5,4.2,3.4,4.8,5.5,5.4,5.2,5.9,6.7,7.1,8.3,8.3,9.1,11,11.3
ICD10-A00-B99,Certain infectious and parasitic diseases,2019,Bremen,Both,3.3,2.9,3.1,3.7,4,5,6.7,5.1,6.5,7,7.1,8.9,7.3,9.2,7.5,9.1,9.7,10.4,9.9,9.6
ICD10-C00-C97,Malignant neoplasms,2019,Bremen,Both,4.2,7.2,11.7,3.5,8.2,5.6,4.9,8,6.4,9.3,7.6,6.8,7.6,8.6,8.7,8.5,8.2,8.6,8.9,8.9
ICD10-D50-D90,Diseases of the blood and blood-forming organs etc,2019,Bremen,Both,2.9,5.1,4.8,4.5,3.3,3.9,6.4,9,4.3,5.1,3.3,5.9,6,5,6.4,5.7,5.7,6.7,7.2,5.9
ICD10-E00-E90,"Endocrine, nutritional and metabolic diseases",2019,Bremen,Both,11,10,3.6,4.4,6.7,3.9,6.1,4.5,5,5.2,5.7,7,7.1,7.2,9,9.3,7.9,8.6,9.3,8.2
ICD10-G00-G99,Diseases of the nervous system,2019,Bremen,Both,12.3,4.8,3.1,4.2,4.4,3.2,5.1,4,5.6,6.9,6.4,10.3,5.9,6.8,7.8,10.5,8.5,9.4,8.5,8.4
ICD10-I00-I99,Diseases of the circulatory system,2019,Bremen,Both,4.7,5.4,2,2.3,2.9,2.8,4.5,5.4,4.9,6.7,6.4,6,7.4,7.2,7.7,8.2,8,8.9,9.4,9.2
ICD10-J00-J99,Diseases of the respiratory system,2019,Bremen,Both,4,3.2,3,4,4.1,3.9,4.7,4.2,4.3,4.5,5.1,5.9,5.7,6.7,6.8,7.2,8.2,8.5,8.6,8.4
ICD10-K00-K93,Diseases of the digestive system,2019,Bremen,Both,4.7,3.6,2.7,4.1,3.4,3.4,3.7,4,4,4.5,4.4,5.2,5.5,5.3,6.1,6,6.7,6.9,7.1,6.8
ICD10-M00-M99,Diseases of the musculoskeletal sys.a.conn.tissue,2019,Bremen,Both,1.7,4.7,3.3,3.6,4.5,3.4,4.5,3.9,4.7,5.8,5.9,5.6,5.6,6.7,7,8,8.2,9,10.7,11.2
ICD10-A00-B99,Certain infectious and parasitic diseases,2019,Hamburg,Male,2.7,2.4,2.8,2.6,3.8,3.6,7.3,6.6,6.7,8.3,7.4,8.4,8.2,9.6,10.6,10.3,11.3,10.7,10.3,10.1
ICD10-C00-C97,Malignant neoplasms,2019,Hamburg,Male,7.3,4,5.2,6.1,9.8,8,9.7,10.9,6.1,7.5,9.4,9.3,9,8.6,9.1,8.8,8.8,8.5,8.9,8.7
ICD10-D50-D90,Diseases of the blood and blood-forming organs etc,2019,Hamburg,Male,7.6,4.1,3.7,5.9,3.8,8.8,7.2,5.5,4.7,4.8,5.2,6,4.1,6.2,6.5,6.6,6.3,6.8,5.9,6.1
ICD10-E00-E90,"Endocrine, nutritional and metabolic diseases",2019,Hamburg,Male,11.4,2.9,3.3,4.7,5.2,5.7,4.5,4.4,4.8,5.3,5.9,6.5,8.4,8.3,9.5,9.7,10.4,11.3,10.5,10.2
ICD10-G00-G99,Diseases of the nervous system,2019,Hamburg,Male,10.6,5.1,3.8,5.5,4.6,9.4,6,4.5,5.4,5.1,4.9,5.3,7.2,6.8,7.9,10.1,9,9.4,9.9,8.2
ICD10-I00-I99,Diseases of the circulatory system,2019,Hamburg,Male,6,4.1,3.3,4.3,3.2,3.2,4.8,5.5,4.6,4.8,5.8,6,5.8,6.5,6.9,7.2,7.7,8.1,8.9,9.6
ICD10-J00-J99,Diseases of the respiratory system,2019,Hamburg,Male,3.8,2.8,2.6,3.7,3.5,3.3,3.8,3.8,3.9,3.7,4.5,5.1,5.7,6.7,7.8,8.8,9.6,9.6,9.8,9.9
ICD10-K00-K93,Diseases of the digestive system,2019,Hamburg,Male,2.9,3.5,3.5,3.9,3.9,3.1,3.4,3.4,3.5,3.5,4.2,4.5,4.6,4.7,5.1,5.5,5.6,6,6.7,7
ICD10-M00-M99,Diseases of the musculoskeletal sys.a.conn.tissue,2019,Hamburg,Male,10.5,5,5.4,4,3.9,2.9,4.3,4.2,3.7,3.9,4.8,4.7,4.9,5.8,6.3,6.6,7.4,8.8,10.5,12.6
ICD10-A00-B99,Certain infectious and parasitic diseases,2019,Hamburg,Female,2.6,2.7,2.9,3,3.1,3.2,4,4.5,4.7,5.7,6.6,6.2,6.5,8,8.5,9.2,9.3,10.6,10.4,10.9
ICD10-C00-C97,Malignant neoplasms,2019,Hamburg,Female,10.3,5.6,4.7,3.1,10.3,3.1,6.3,5.1,4.7,6.9,6.4,6.6,7.9,7.2,8.2,9.1,9.2,9.8,9.8,9.8
ICD10-D50-D90,Diseases of the blood and blood-forming organs etc,2019,Hamburg,Female,8.8,5.2,8,3.7,5.7,5.4,4.9,5.6,6.4,4.1,4.1,4.1,5.9,5.5,6.4,7.5,6.1,7.4,5.9,6
ICD10-E00-E90,"Endocrine, nutritional and metabolic diseases",2019,Hamburg,Female,6,5.3,3,4.2,4.5,6,4.3,3.5,3.4,3.4,5.2,4.1,4.2,5.6,5.9,7.2,6.9,8.5,9.2,8.9
ICD10-G00-G99,Diseases of the nervous system,2019,Hamburg,Female,10.9,6.8,4.5,3.5,7.3,7.1,5.3,5.5,5.1,5.8,5.5,6.2,6.5,6.4,6.4,7.8,8.3,8.5,8.7,8.7
ICD10-I00-I99,Diseases of the circulatory system,2019,Hamburg,Female,3.9,3.1,2.1,2.9,3.1,5.3,5,3.5,6.2,4.4,4.3,4.7,4.9,6.2,6.1,6.8,7.1,8.1,8.8,10.3
ICD10-J00-J99,Diseases of the respiratory system,2019,Hamburg,Female,4,2.9,2.8,4.3,3.9,3.6,3.8,3.5,3.9,4.5,3.9,4.7,5.2,6.9,7.5,8.3,9.9,9.6,10,9.7
ICD10-K00-K93,Diseases of the digestive system,2019,Hamburg,Female,5.3,3.6,3.1,3.7,3.3,3.9,3.7,3.8,3.4,3.7,4,4.1,4.7,5.1,5.8,5.5,6.7,7,7,8.3
ICD10-M00-M99,Diseases of the musculoskeletal sys.a.conn.tissue,2019,Hamburg,Female,3.8,6.2,4.8,3.7,4.3,3.5,3.4,3.4,3.9,4.2,4.4,4.5,4.5,5,6.1,6.7,8.1,9.4,11.2,13.7
ICD10-A00-B99,Certain infectious and parasitic diseases,2019,Hamburg,Both,2.7,2.6,2.8,2.8,3.4,3.4,5.6,5.5,5.9,7.2,7.1,7.6,7.5,8.9,9.7,9.8,10.3,10.6,10.4,10.6
ICD10-C00-C97,Malignant neoplasms,2019,Hamburg,Both,8.4,5.1,4.9,4.8,9.9,6.8,8.4,7.7,5.3,7.1,7.4,7.7,8.4,7.9,8.7,8.9,9,9.1,9.3,9.2
ICD10-D50-D90,Diseases of the blood and blood-forming organs etc,2019,Hamburg,Both,8.3,4.6,5.6,4.6,5.1,6.3,5.5,5.6,5.5,4.4,4.5,5.1,5.1,5.9,6.5,7.2,6.2,7.1,5.9,6
ICD10-E00-E90,"Endocrine, nutritional and metabolic diseases",2019,Hamburg,Both,8.9,4,3.1,4.4,4.8,5.9,4.4,3.8,3.8,4.1,5.5,5.1,6.1,7,7.8,8.5,8.7,9.9,9.7,9.4
ICD10-G00-G99,Diseases of the nervous system,2019,Hamburg,Both,10.8,5.9,4,4.4,6,8.3,5.6,5.1,5.3,5.4,5.2,5.7,6.9,6.6,7.2,9,8.7,8.9,9.3,8.5
ICD10-I00-I99,Diseases of the circulatory system,2019,Hamburg,Both,5.3,3.8,2.7,3.6,3.2,4.3,4.9,4.6,5.3,4.6,5.2,5.5,5.5,6.4,6.7,7,7.5,8.1,8.9,10
ICD10-J00-J99,Diseases of the respiratory system,2019,Hamburg,Both,3.9,2.8,2.7,4,3.7,3.5,3.8,3.7,3.9,4.1,4.3,5,5.5,6.8,7.7,8.6,9.7,9.6,9.9,9.8
ICD10-K00-K93,Diseases of the digestive system,2019,Hamburg,Both,3.6,3.5,3.4,3.8,3.6,3.6,3.6,3.6,3.5,3.6,4.1,4.3,4.6,4.9,5.4,5.5,6.1,6.5,6.9,7.8
ICD10-M00-M99,Diseases of the musculoskeletal sys.a.conn.tissue,2019,Hamburg,Both,6.5,5.5,5.2,3.9,4.1,3.2,3.9,3.9,3.8,4.1,4.6,4.6,4.7,5.4,6.2,6.6,7.8,9.2,11,13.3
ICD10-A00-B99,Certain infectious and parasitic diseases,2019,Hessen,Male,3.8,3,3,3.4,4.7,4.5,6.3,5.7,5.9,7,6.8,7,8.5,8.9,9.1,9.4,9.3,9.8,9.6,9.4
ICD10-C00-C97,Malignant neoplasms,2019,Hessen,Male,18.3,5.9,5.4,5.4,7.6,7.9,9.2,7.4,6.5,6.9,7.3,7.5,7.9,8.1,7.9,8,8.1,8,8.6,8.6
ICD10-D50-D90,Diseases of the blood and blood-forming organs etc,2019,Hessen,Male,9.8,5,4.4,6.8,5.1,9.8,9.8,5.3,5.1,5,6.7,5.8,5,6.8,6,6.3,6.1,6.6,6.4,6.6
ICD10-E00-E90,"Endocrine, nutritional and metabolic diseases",2019,Hessen,Male,9.1,5.9,5.2,5.7,6.4,6.1,5.9,5.5,5.5,6.2,5.9,6.8,7.2,7.8,8.6,8.6,8.7,9,8.6,8.3
ICD10-G00-G99,Diseases of the nervous system,2019,Hessen,Male,9.6,4.9,5.1,4.1,3.5,4.1,4.6,4.8,4.9,4.4,4.2,5,5.3,6.1,6.8,8.1,8.8,9.3,9.3,8.7
ICD10-I00-I99,Diseases of the circulatory system,2019,Hessen,Male,9.4,4.1,6.1,3.4,4.6,5.5,4.3,5.1,5.3,5.4,5.7,5.7,6,6.3,7.1,7.4,7.9,8.4,8.9,9.4
ICD10-J00-J99,Diseases of the respiratory system,2019,Hessen,Male,3.9,2.8,2.9,3.3,4,4,3.9,3.8,4,4,4.5,5.2,5.9,7,7.6,8.5,8.9,9.2,9.3,9.2
ICD10-K00-K93,Diseases of the digestive system,2019,Hessen,Male,3.8,3.4,3.3,3.7,3.7,3.4,3.4,3.5,3.6,4,4.1,4.3,4.7,5,5.4,5.5,5.8,6.3,6.7,6.7
ICD10-M00-M99,Diseases of the musculoskeletal sys.a.conn.tissue,2019,Hessen,Male,13.1,4.6,5,4.5,4.7,4.3,4.7,4.1,5,5.3,5.5,5.8,6.3,6.6,6.9,7.5,8.2,8.9,9.9,10.9
ICD10-A00-B99,Certain infectious and parasitic diseases,2019,Hessen,Female,3.3,3,3.2,3.2,3.7,3.8,4.7,4.8,5,5.6,5.5,6.4,6.4,7,7.5,9,8.7,9,9.5,9.5
ICD10-C00-C97,Malignant neoplasms,2019,Hessen,Female,8.7,6.9,5.9,5.5,6.5,7.2,5.7,5.8,6.1,6,5.8,6.7,6.7,6.9,7.6,8,8.3,9.1,9.6,9.9
ICD10-D50-D90,Diseases of the blood and blood-forming organs etc,2019,Hessen,Female,10.4,4.6,5.3,8.1,4.1,3.4,4.1,6.2,5.5,4.3,4.9,4.6,4.7,5.7,6,5.7,7.1,6.6,6.7,6.5
